open_time,open,high,low,close,vwap,volume,trades
2026-02-21 22:54:00,68110.4,68110.4,68088.2,68088.2,68094.0,0.02284582,11
2026-02-21 22:55:00,68088.1,68088.2,68061.4,68087.7,68075.5,0.20543672,31
2026-02-21 22:56:00,68087.7,68087.7,68010.2,68040.0,68038.0,0.22228143,50
2026-02-21 22:57:00,68040.0,68040.0,68000.5,68003.6,68005.6,1.12220117,18
2026-02-21 22:58:00,68003.7,68003.7,67879.2,67928.8,67976.0,9.81166017,125
2026-02-21 22:59:00,67928.8,67962.8,67928.8,67962.8,67930.9,0.23473112,20
2026-02-21 23:00:00,67962.9,67962.9,67943.6,67943.6,67943.7,1.03507332,30
2026-02-21 23:01:00,67943.7,67977.9,67943.7,67977.5,67953.7,0.2270923,26
2026-02-21 23:02:00,67977.6,67977.6,67977.6,67977.6,67977.6,0.00016496,2
2026-02-21 23:03:00,67977.6,67977.6,67943.6,67943.6,67971.1,0.06522685,16
2026-02-21 23:04:00,67943.6,67943.6,67934.7,67939.4,67936.3,1.0217498,21
2026-02-21 23:05:00,67939.3,67939.4,67927.7,67927.8,67928.2,0.35873953,22
2026-02-21 23:06:00,67927.7,67952.8,67927.7,67952.6,67932.5,0.17964921,24
2026-02-21 23:07:00,67952.6,67974.8,67952.6,67974.8,67964.5,0.01167903,17
2026-02-21 23:08:00,67974.8,67993.0,67974.8,67992.9,67985.1,0.05528315,18
2026-02-21 23:09:00,67993.0,67993.0,67992.6,67992.6,67992.9,0.02348743,16
2026-02-21 23:10:00,67970.4,67970.5,67960.0,67960.1,67968.9,0.02094328,13
2026-02-21 23:11:00,67960.1,67980.0,67960.0,67980.0,67961.5,0.12697148,18
2026-02-21 23:12:00,67980.0,67994.6,67980.0,67994.5,67989.1,0.01680509,13
2026-02-21 23:13:00,67994.5,67994.6,67952.7,67952.7,67968.0,0.5381109,21
2026-02-21 23:14:00,67956.5,67956.6,67956.5,67956.5,67956.5,0.01137903,13
2026-02-21 23:15:00,67952.7,67952.7,67952.6,67952.6,67952.6,0.02307344,11
2026-02-21 23:16:00,67952.6,67975.2,67952.6,67971.8,67964.4,0.27036782,21
2026-02-21 23:17:00,67971.8,67971.8,67971.7,67971.8,67971.7,0.01916931,15
2026-02-21 23:18:00,67971.8,68000.0,67971.7,68000.0,67973.6,0.10561691,18
2026-02-21 23:19:00,68000.0,68000.0,67999.9,68000.0,67999.9,0.02984615,14
2026-02-21 23:20:00,68000.0,68020.0,68000.0,68020.0,68005.9,0.28571025,25
2026-02-21 23:21:00,68019.9,68043.0,68019.9,68043.0,68032.6,0.01439983,19
2026-02-21 23:22:00,68043.0,68043.0,68032.4,68035.9,68034.1,0.10725994,22
2026-02-21 23:23:00,68035.9,68056.5,68035.9,68050.5,68050.0,0.08967311,21
2026-02-21 23:24:00,68050.5,68050.5,68050.4,68050.4,68050.4,0.01619093,12
2026-02-21 23:25:00,68050.4,68050.5,68047.1,68047.1,68050.4,1.01770625,15
2026-02-21 23:26:00,68027.0,68027.0,68026.9,68026.9,68026.9,0.04863606,7
2026-02-21 23:27:00,68027.0,68068.1,68027.0,68068.1,68043.9,0.30913431,19
2026-02-21 23:28:00,68068.1,68070.8,68068.1,68070.8,68068.4,0.1210672,16
2026-02-21 23:29:00,68070.8,68070.8,68068.1,68068.1,68069.6,0.01435651,14
2026-02-21 23:30:00,68068.2,68068.2,68068.1,68068.2,68068.1,0.01045165,9
2026-02-21 23:31:00,68068.1,68068.1,68068.1,68068.1,68068.1,0.00116849,5
2026-02-21 23:32:00,68068.2,68068.2,68054.4,68054.4,68065.0,0.03778896,18
2026-02-21 23:33:00,68054.5,68054.5,68054.5,68054.5,68054.5,0.00185815,5
2026-02-21 23:34:00,68054.5,68080.0,68054.4,68080.0,68062.6,0.17514442,25
2026-02-21 23:35:00,68080.0,68091.3,68079.9,68091.3,68082.5,1.3863423,37
2026-02-21 23:36:00,68091.3,68091.3,68091.3,68091.3,68091.3,0.12268389,10
2026-02-21 23:37:00,68091.2,68091.2,68077.6,68077.7,68086.2,0.00650842,7
2026-02-21 23:38:00,68077.7,68077.7,68077.6,68077.6,68077.6,0.00586671,8
2026-02-21 23:39:00,68077.7,68077.7,68077.6,68077.7,68077.6,0.08755793,10
2026-02-21 23:40:00,68094.6,68094.7,68076.7,68076.8,68087.9,0.02929762,17
2026-02-21 23:41:00,68076.7,68076.8,68070.7,68070.7,68074.9,0.01420673,18
2026-02-21 23:42:00,68070.8,68070.8,68070.7,68070.8,68070.7,0.00308063,6
2026-02-21 23:43:00,68070.8,68070.8,68070.7,68070.7,68070.7,0.05892984,18
2026-02-21 23:44:00,68070.8,68070.8,68068.3,68068.3,68070.7,0.10719617,13
2026-02-21 23:45:00,68060.0,68060.0,68035.9,68036.0,68037.6,0.11455034,12
2026-02-21 23:46:00,68035.9,68036.0,68007.1,68007.2,68023.2,0.0403849,20
2026-02-21 23:47:00,68007.2,68033.7,68007.2,68033.7,68008.4,0.11818233,16
2026-02-21 23:48:00,68033.7,68034.3,67970.3,67970.3,68025.0,2.04049425,99
2026-02-21 23:49:00,67970.4,67970.4,67950.2,67957.3,67953.8,6.47917447,35
2026-02-21 23:50:00,67957.3,67957.3,67957.2,67957.3,67957.2,0.01965983,16
