time,price,qty,side
2026-02-22 05:51:06.842466831,1972.37,0.39626453,sell
2026-02-22 05:51:06.842466831,1972.37,0.12802145,sell
2026-02-22 05:51:06.842466831,1972.12,0.047702,sell
2026-02-22 05:51:09.521068573,1972.37,0.00077384,buy
2026-02-22 05:51:35.535003185,1972.37,0.04736974,buy
2026-02-22 05:51:39.570887089,1972.37,0.07198961,buy
2026-02-22 05:51:39.813237667,1972.37,0.02522346,buy
2026-02-22 05:51:55.853149891,1972.36,0.00154764,sell
2026-02-22 05:52:32.594454050,1972.92,0.00109241,buy
2026-02-22 05:52:42.572259426,1972.92,0.00101373,buy
2026-02-22 05:53:11.699540854,1973.08,0.00108265,buy
2026-02-22 05:53:27.688447952,1973.08,1.0,buy
2026-02-22 05:54:13.337269306,1972.55,0.04502274,sell
2026-02-22 05:54:16.943986177,1972.69,0.00101373,sell
2026-02-22 05:54:51.639372349,1972.92,0.01854304,buy
2026-02-22 05:54:58.802777052,1972.92,0.00101373,buy
2026-02-22 05:55:21.880450964,1972.62,0.00144915,sell
2026-02-22 05:55:25.935478687,1972.62,0.00101373,sell
2026-02-22 05:55:26.506018400,1972.63,0.09576664,buy
2026-02-22 05:55:49.548933029,1972.63,0.00124823,buy
2026-02-22 05:56:05.378278255,1972.62,0.01848377,sell
2026-02-22 05:56:38.198886156,1972.63,0.00503388,buy
2026-02-22 05:56:59.241823673,1972.62,0.00921145,sell
2026-02-22 05:57:12.234922886,1972.63,0.00741857,buy
2026-02-22 05:57:17.308894396,1972.63,0.02371538,buy
2026-02-22 05:57:17.308894396,1973.12,0.15017575,buy
2026-02-22 05:57:17.308894396,1973.27,0.18642353,buy
2026-02-22 05:57:30.070373058,1973.27,0.00101355,buy
2026-02-22 05:57:58.843183041,1973.27,0.00116,buy
2026-02-22 05:58:00.059844255,1973.79,0.007,sell
2026-02-22 05:58:00.059844255,1973.75,0.036295,sell
2026-02-22 05:58:31.453217506,1974.12,0.01079549,sell
2026-02-22 05:59:16.877996683,1974.24,0.00678937,sell
2026-02-22 06:00:00.236023664,1974.39,0.00401177,buy
2026-02-22 06:00:00.298052788,1974.39,0.02507354,buy
2026-02-22 06:00:07.639590740,1974.39,0.00496554,buy
2026-02-22 06:00:21.157827616,1974.39,0.02476446,buy
2026-02-22 06:00:21.157827854,1974.39,0.00502881,buy
2026-02-22 06:00:25.119803190,1974.39,0.00506486,buy
2026-02-22 06:00:31.032201052,1974.39,0.00748501,buy
2026-02-22 06:00:32.682100773,1974.38,0.00820078,sell
2026-02-22 06:00:40.990456820,1974.39,0.00945772,buy
2026-02-22 06:00:47.162918329,1974.39,0.01247501,buy
2026-02-22 06:00:59.963402748,1974.39,0.00499001,buy
2026-02-22 06:01:00.512460469,1974.38,0.49568421,sell
2026-02-22 06:01:00.512460469,1974.38,0.58187415,sell
2026-02-22 06:01:12.304871798,1973.97,0.001,sell
